70,Nunc purus. Phasellus in felis.,82,70
71,Nam tristique tortor eu pede.,27,71
72,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,37,72
73,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,72,73
74,Quisque ut erat.,12,74
75,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",29,75
76,Nunc purus. Phasellus in felis.,13,76
77,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",25,77
78,Aliquam erat volutpat. In congue. Etiam justo.,11,78
79,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",65,79
80,Phasellus in felis.,76,80
81,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,46,81
82,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",87,82
83,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,45,83
84,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,75,84
85,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",85,85
86,Donec posuere metus vitae ipsum. Aliquam non mauris.,18,86
87,Praesent blandit lacinia erat.,77,87
88,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,4,88
89,Nulla nisl. Nunc nisl.,83,89
90,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,34,90
91,Aenean auctor gravida sem.,50,91
92,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",19,92
93,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",28,93
94,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",59,94
95,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,87,95
96,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",38,96
97,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",37,97
98,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,65,98
99,Duis bibendum.,66,99
100,Nullam porttitor lacus at turpis.,1,100
